idx,tag
8d2005ec35280deb6a438dc87b225f89,TED
8d2005ec35280deb6a438dc87b225f89,talks
8d2005ec35280deb6a438dc87b225f89,design
8d2005ec35280deb6a438dc87b225f89,society
8d2005ec35280deb6a438dc87b225f89,identity
8d2005ec35280deb6a438dc87b225f89,social change
8d2005ec35280deb6a438dc87b225f89,community
8d2005ec35280deb6a438dc87b225f89,humanity
8d2005ec35280deb6a438dc87b225f89,TEDx
b3072cd11f40eb57fd259555264476c6,TED
b3072cd11f40eb57fd259555264476c6,talks
b3072cd11f40eb57fd259555264476c6,compassion
b3072cd11f40eb57fd259555264476c6,emotions
b3072cd11f40eb57fd259555264476c6,life
b3072cd11f40eb57fd259555264476c6,philosophy
b3072cd11f40eb57fd259555264476c6,coronavirus
b3072cd11f40eb57fd259555264476c6,self
b3072cd11f40eb57fd259555264476c6,creativity
b3072cd11f40eb57fd259555264476c6,humanity
b3072cd11f40eb57fd259555264476c6,TED Connects
4adc9fee977fa04c357ed4c9b52aa3cc,TED
4adc9fee977fa04c357ed4c9b52aa3cc,talks
4adc9fee977fa04c357ed4c9b52aa3cc,live music
4adc9fee977fa04c357ed4c9b52aa3cc,music
4adc9fee977fa04c357ed4c9b52aa3cc,performance
59c641a72b495d522a7932145d6c02b3,TED
59c641a72b495d522a7932145d6c02b3,talks
59c641a72b495d522a7932145d6c02b3,autism
59c641a72b495d522a7932145d6c02b3,social change
59c641a72b495d522a7932145d6c02b3,Autism spectrum disorder
59c641a72b495d522a7932145d6c02b3,community
59c641a72b495d522a7932145d6c02b3,diversity
59c641a72b495d522a7932145d6c02b3,humanity
59c641a72b495d522a7932145d6c02b3,TED-Ed
59c641a72b495d522a7932145d6c02b3,inclusion
d227f2faf6ec185e54436d86463f499b,TED
d227f2faf6ec185e54436d86463f499b,talks
d227f2faf6ec185e54436d86463f499b,TED-Ed
d227f2faf6ec185e54436d86463f499b,education
d227f2faf6ec185e54436d86463f499b,oceans
d227f2faf6ec185e54436d86463f499b,animation
d227f2faf6ec185e54436d86463f499b,math
fe612cc9179e038f97816fce891022a6,TED
fe612cc9179e038f97816fce891022a6,talks
fe612cc9179e038f97816fce891022a6,sleep
fe612cc9179e038f97816fce891022a6,medicine
fe612cc9179e038f97816fce891022a6,health
fe612cc9179e038f97816fce891022a6,pandemic
fe612cc9179e038f97816fce891022a6,biology
fe612cc9179e038f97816fce891022a6,coronavirus
fe612cc9179e038f97816fce891022a6,medical research
fe612cc9179e038f97816fce891022a6,brain
fe612cc9179e038f97816fce891022a6,science
fe612cc9179e038f97816fce891022a6,memory
fe612cc9179e038f97816fce891022a6,human body
6e67b6ad4cc6b420fe86fb975925fb32,TED
6e67b6ad4cc6b420fe86fb975925fb32,talks
6e67b6ad4cc6b420fe86fb975925fb32,coronavirus
6e67b6ad4cc6b420fe86fb975925fb32,history
6e67b6ad4cc6b420fe86fb975925fb32,pandemic
6e67b6ad4cc6b420fe86fb975925fb32,virus
c593d7fd658f9ff5bc0c1aee2e9c917e,TED
